title,url,year,issue
Evaluation of tack coat bond strength for mixtures containing baghouse fines,https://www.tandfonline.com/doi/full/10.1080/10298430500111975,2005,3
Subgrade soil index properties to estimate resilient modulus for pavement design,https://www.tandfonline.com/doi/full/10.1080/10298430500140891,2005,3
Backcalculation of full-depth asphalt pavement layer moduli considering nonlinear stress-dependent subgrade behavior,https://www.tandfonline.com/doi/full/10.1080/10298430500150981,2005,3
Significance of bearing capacity of clayey subgrade in flexible pavement design,https://www.tandfonline.com/doi/full/10.1080/10298430500137194,2005,3
Quantification of emission potential from asphalt binders using mass loss and opacity measurements,https://www.tandfonline.com/doi/full/10.1080/14639220500090836,2005,3
A model based on artificial neural networks and genetic algorithms for pavement maintenance management,https://www.tandfonline.com/doi/full/10.1080/10298430500195432,2005,3
A LTPP study with a new device for vertical deformation measurements,https://www.tandfonline.com/doi/full/10.1080/10298430500227714,2005,3
Estimation of level of anisotropy in unbound granular layers considering aggregate physical properties,https://www.tandfonline.com/doi/full/10.1080/10298430500335244,2005,4
Influence of aggregate chemical and mineralogical composition on stripping in bituminous mixtures,https://www.tandfonline.com/doi/full/10.1080/10298430500440796,2005,4
Modelling constant displacement rate experiments of asphalt concrete using a thermodynamic framework,https://www.tandfonline.com/doi/full/10.1080/10298430500352587,2005,4
Comparison of laboratory-generated and field-obtained HMA VOCs with odour potential,https://www.tandfonline.com/doi/full/10.1080/10298430500127997,2005,4
The influence of crumb rubber modifier (CRM) microstructures on the high temperature properties of CRM binders,https://www.tandfonline.com/doi/full/10.1080/10298430500373336,2005,4
The effects of rejuvenating agents on recycled aged CRM binders,https://www.tandfonline.com/doi/full/10.1080/10298430500439319,2005,4
Reliability based design optimization of asphalt pavements,https://www.tandfonline.com/doi/full/10.1080/10298430500445506,2005,4
Note on: “Verification of falling weight deflectometer backanalysis using a dynamic finite elements simulation” by Andreas Loizos and A. (Tom) Scarpas,https://www.tandfonline.com/doi/full/10.1080/10298430500466890,2005,4
NDE methods for quality assurance of new pavement thickness,https://www.tandfonline.com/doi/full/10.1080/10298430500501985,2006,1
Development and evaluation of a field permeameter as a longitudinal joint quality indicator,https://www.tandfonline.com/doi/full/10.1080/10298430500501860,2006,1
Prediction of pavement distress index with limited data on causal factors: an auto-regression approach,https://www.tandfonline.com/doi/full/10.1080/10298430500502017,2006,1
Mesoscale and microscale evaluation of surface pavement impacts on the urban heat island effects,https://www.tandfonline.com/doi/full/10.1080/10298430500505325,2006,1
Durability and mechanistic characteristics of fiber reinforced soil–cement mixtures,https://www.tandfonline.com/doi/full/10.1080/10298430500489207,2006,1
Strength characteristics of polymer modified mixes,https://www.tandfonline.com/doi/full/10.1080/10298430500495147,2006,1
Flexible pavement responses to different loading amplitudes considering layer interface condition and lateral shear forces,https://www.tandfonline.com/doi/full/10.1080/10298430500516074,2006,1
List of reviewers 2005,https://www.tandfonline.com/doi/full/10.1080/10298430600563919,2006,1
Editorial,https://www.tandfonline.com/doi/abs/10.1080/10298430600662034,2006,2
Long-life pavements—a European study by ELLPAG,https://www.tandfonline.com/doi/abs/10.1080/10298430600619059,2006,2
A review of practical experience throughout Europe on deterioration in fully-flexible and semi-rigid long-life pavements,https://www.tandfonline.com/doi/abs/10.1080/10298430600619117,2006,2
Perpetual pavement design for flexible pavements in the US,https://www.tandfonline.com/doi/abs/10.1080/10298430600619182,2006,2
Low-temperature performance prediction of asphalt mixtures used for LLP—new approach based on fundamental test methods and numerical modeling,https://www.tandfonline.com/doi/abs/10.1080/10298430600627003,2006,2
Assessment and upgrading of in-service heavy duty pavements to long life,https://www.tandfonline.com/doi/abs/10.1080/10298430600627045,2006,2
Cost benefit analysis aspects related to long-life pavements,https://www.tandfonline.com/doi/abs/10.1080/10298430600627037,2006,2
Advanced constitutive modelling of bituminous materials,https://www.tandfonline.com/doi/full/10.1080/10298430600630528,2006,3
