journal,article_nr,n_chars,n_words
journal_6,4827,57478,7833
journal_6,4828,151861,20715
journal_6,4829,84416,11960
journal_6,483,57898,8299
journal_6,4830,77276,10915
journal_6,4831,60072,8598
journal_6,4832,69980,9714
journal_6,4833,76561,10998
journal_6,4834,89225,12616
journal_6,4835,80479,11318
journal_6,4836,51808,7521
journal_6,4837,98301,14327
journal_6,4838,66483,9335
journal_6,4839,71694,10285
journal_6,484,44356,6550
journal_6,4840,116227,16468
journal_6,4841,80359,11465
journal_6,4842,78316,10283
journal_6,4843,83865,11814
journal_6,4844,77447,10668
journal_6,4845,58995,8324
journal_6,4846,93881,13140
journal_6,4847,78266,10419
journal_6,4848,70837,9874
journal_6,4849,45049,6085
journal_6,485,44106,6325
journal_6,4850,81078,11485
journal_6,4851,128474,17852
journal_6,4852,10075,1270
journal_6,4853,13601,1906
journal_6,4854,60945,8313
journal_6,4855,80514,11007
journal_6,4856,101128,13976
journal_6,4857,130440,18682
journal_6,4858,75583,10162
journal_6,4859,76512,10705
journal_6,486,61617,9104
journal_6,4860,71214,9644
journal_6,4861,91011,13047
journal_6,4862,76246,10944
journal_6,4863,67116,9506
journal_6,4864,89892,13234
journal_6,4865,98434,13821
journal_6,4866,49889,6688
journal_6,4867,69507,9248
journal_6,4868,80129,11652
journal_6,4869,77803,10798
journal_6,487,49641,7379
journal_6,4870,94230,13375
journal_6,4871,45380,6200
journal_6,4872,51542,6790
journal_6,4873,162185,23547
journal_6,4874,70807,10266
journal_6,4875,83610,11721
journal_6,4876,66063,9195
journal_6,4877,10071,1270
journal_6,4878,75405,10828
journal_6,4879,105119,15070
journal_6,488,45403,6925
journal_6,4880,128606,17776
journal_6,4881,74906,10914
journal_6,4882,96240,13081
journal_6,4883,89257,12520
journal_6,4884,58700,8392
journal_6,4885,64346,9579
journal_6,4886,62418,8686
journal_6,4887,46926,6587
journal_6,4888,98369,13398
journal_6,4889,63823,9239
journal_6,489,67642,9608
journal_6,4890,45706,6344
journal_6,4891,87837,12553
journal_6,4892,104218,15054
journal_6,4893,115558,15112
journal_6,4894,99779,14112
journal_6,4895,79205,11451
journal_6,4896,80409,11534
journal_6,4897,77196,11180
journal_6,4898,193780,26424
journal_6,4899,70237,10110
journal_6,49,39217,5730
journal_6,490,37159,5405
journal_6,4900,86466,12006
journal_6,4901,29883,4037
journal_6,4902,110783,15816
journal_6,4903,92812,13092
journal_6,4904,98785,14237
journal_6,4905,59095,8314
journal_6,4906,47597,6807
journal_6,4907,76359,11066
journal_6,4908,70622,10113
journal_6,4909,80136,11261
journal_6,491,42135,6232
journal_6,4910,64908,9340
journal_6,4911,68792,9527
journal_6,4912,44724,6121
journal_6,4913,106687,15639
journal_6,4914,75463,10602
journal_6,4915,116104,16470
journal_6,4916,10073,1270
journal_6,4917,79649,11639
journal_6,4918,91397,12740
journal_6,4919,69289,10058
journal_6,492,53684,7991
journal_6,4920,69701,10057
journal_6,4921,107652,15653
journal_6,4922,68515,9544
journal_6,4923,61159,8895
journal_6,4924,104531,14812
journal_6,4925,92343,13112
journal_6,4926,82627,11263
journal_6,4927,101414,14242
journal_6,4928,62162,9020
journal_6,4929,66373,9547
journal_6,493,56481,8315
journal_6,4930,10063,1273
journal_6,4931,89218,12474
journal_6,4932,79411,11554
journal_6,4933,136691,19043
journal_6,4934,72962,10237
journal_6,4935,62051,8938
journal_6,4936,119171,16343
journal_6,4937,77054,10697
journal_6,4938,78249,11215
journal_6,4939,65413,9288
journal_6,494,46142,7067
journal_6,4940,74240,10678
journal_6,4941,82766,11567
journal_6,4942,72004,10308
journal_6,4943,101262,14519
journal_6,4944,93960,13295
journal_6,4945,164960,22913
journal_6,4946,81810,11392
journal_6,4947,90266,12344
journal_6,4948,75065,10821
journal_6,4949,101711,14173
journal_6,495,47789,7337
journal_6,4950,70596,9806
journal_6,4951,73906,10161
journal_6,4952,93126,13753
journal_6,4953,60949,8761
journal_6,4954,177807,25079
journal_6,4955,111889,16285
journal_6,4956,53261,7670
journal_6,4957,79737,11093
journal_6,4958,53300,7559
journal_6,4959,54262,7473
journal_6,496,43949,6432
journal_6,4960,83413,12010
journal_6,4961,55845,8039
journal_6,4962,67334,9918
journal_6,4963,80218,11552
journal_6,4964,93419,12937
journal_6,4965,65273,8914
journal_6,4966,72692,10584
journal_6,4967,104536,14697
journal_6,4968,133097,18565
journal_6,4969,94195,13132
journal_6,497,35537,5161
journal_6,4970,166341,23516
journal_6,4971,71508,9983
journal_6,4972,10093,1257
journal_6,4973,95300,12979
journal_6,4974,73394,10725
journal_6,4975,52581,7228
journal_6,4976,119921,16602
journal_6,4977,64884,9525
journal_6,4978,83176,11488
journal_6,4979,76399,10708
journal_6,498,49799,6796
journal_6,4980,57462,8201
journal_6,4981,86975,12447
journal_6,4982,62980,8778
journal_6,4983,53837,7517
journal_6,4984,70769,9729
journal_6,4985,70677,9692
journal_6,4986,69172,9716
journal_6,4987,124121,17304
journal_6,4988,99652,14238
journal_6,4989,114963,15431
journal_6,499,40696,5969
journal_6,4990,72697,10316
journal_6,4991,104039,14177
journal_6,4992,64806,9271
journal_6,4993,92281,13460
journal_6,4994,41105,6068
journal_6,4995,114552,14557
journal_6,4996,10097,1257
journal_6,4997,141092,19695
journal_6,4998,79000,11417
journal_6,4999,50865,7236
journal_6,5,41418,6406
journal_6,50,44337,6456
journal_6,500,35245,5278
journal_6,5000,221628,30668
journal_6,5001,90175,13147
journal_6,5002,161285,22477
journal_6,5003,76098,10767
journal_6,5004,115931,16874
journal_6,5005,45208,6041
journal_6,5006,88817,12097
journal_6,5007,64059,9272
journal_6,5008,98113,14186
